session_id,animal_id,raw,sorted,ibl_converted,raw_smartspim,stitched_smartspim,NG_link,Pen Side,Rec Side,Dye,status,NG Note,A-P category,Process note,Aligner,alignment_confidence,CB presence,IC presence,num of landmarks,scale_factor,alignment_notes
behavior_717121_2024-06-13_12-21-20,717121,,a9bbf452-2147-4655-80eb-4ca4d139a226,,89e792e5-383a-46e1-9059-c0ac451bb967,1415493c-2d23-4f5e-a70a-ef99e067cf0c,https://tinyurl.com/bdc4z9e8,"5R, 2L",L,Cm-DiI,No unit filtering for old sorting,,,,ZS,,,,,,
behavior_717121_2024-06-14_10-23-49,717121,,2ad859c4-0130-4417-8a1f-e36eb984b007,,89e792e5-383a-46e1-9059-c0ac451bb967,1415493c-2d23-4f5e-a70a-ef99e067cf0c,https://tinyurl.com/bdc4z9e8,2L,L,DiD,No unit filtering for old sorting,,,,ZS,,,,,,
behavior_717121_2024-06-15_10-00-58,717121,,bb483e32-6421-47fc-8ee9-4262e75f143c,,89e792e5-383a-46e1-9059-c0ac451bb967,1415493c-2d23-4f5e-a70a-ef99e067cf0c,https://tinyurl.com/bdc4z9e8,L,L,DiD,"Round 1 done, No unit filtering for old sorting",,,,ZS,,Yes,Yes,,,
behavior_717121_2024-06-16_11-45-02,717121,,06bfe90d-35a8-46c3-8b27-a9821dade4f2,,89e792e5-383a-46e1-9059-c0ac451bb967,1415493c-2d23-4f5e-a70a-ef99e067cf0c,https://tinyurl.com/bdc4z9e8,L,L,Cm-DiI,"Round 1 done, No unit filtering for old sorting", ,,,ZS,,Yes,Yes,,,
behavior_751004_2024-12-19_11-50-37,751004,6a79f315-8bea-4100-a20d-f049537619af,f2879d04-4e08-4379-8d5b-bd79779a589c,,dd05d1d7-e9cc-4444-b167-ce037303c822,da3617f5-8e2f-4010-80cd-818510c89b8e,https://tinyurl.com/3akaeues,2L,L,cm-DiI,AP flip,"deepest track; most lateral; overlap with 1223, but overall fairly confident ",,,HH,,,,,,
behavior_751004_2024-12-20_13-26-11,751004,04f9127c-c844-4d22-b1af-3864dc6dc8b4,74894e74-9057-45bb-a318-1dfaa28f38a8,,dd05d1d7-e9cc-4444-b167-ce037303c822,da3617f5-8e2f-4010-80cd-818510c89b8e,https://tinyurl.com/3akaeues,3R,R,cm-DiI,AP flip,high confidence,,,HH,,,,,,
behavior_751004_2024-12-21_13-28-28,751004,019cab81-ad4e-45e7-ba9b-8dac12480323,ba67f1a1-44a7-4f99-8a4d-13a64cd9f0e8,,dd05d1d7-e9cc-4444-b167-ce037303c822,da3617f5-8e2f-4010-80cd-818510c89b8e,https://tinyurl.com/3akaeues,R,R,DiD,"AP flip, LR opposite, fixed",high confidence,,,HH,,,,,,
behavior_751004_2024-12-22_13-09-17,751004,1d0ed8bd-6b36-4c19-a8a4-dcb757abba8b,bc6b4df0-83db-4ba5-aa53-9596fa5a318e,,dd05d1d7-e9cc-4444-b167-ce037303c822,da3617f5-8e2f-4010-80cd-818510c89b8e,https://tinyurl.com/3akaeues,L,L,DiD,AP flip,high confidence,,,HH,,,,,,
behavior_751004_2024-12-23_14-20-03,751004,414a1912-d365-465a-83e0-f613c95c0c70,244fcaa9-14dd-4a0b-bd29-32cf6ef6faf2,,dd05d1d7-e9cc-4444-b167-ce037303c822,da3617f5-8e2f-4010-80cd-818510c89b8e,https://tinyurl.com/3akaeues,L,L,cm-DiI,AP flip,"overlap with 1219 recording, but fairly confident that it's correct; most medial and posterior track ",,,HH,,,,,,
behavior_751769_2025-01-16_11-32-05,751769,e08f98e9-7319-4aa1-993e-e28e69604f5b,a19ec68a-a660-44f2-a181-15c91794cbd2,,701f35c1-3078-4ff5-bb53-f76b34b7ecbf,1eb78c64-c230-432d-b615-40a6c0f98954,https://tinyurl.com/nzm4jxuk,R,R,cm-DiI,AP flip,high confidence,,high confidence,ZS,,,,,,
behavior_751769_2025-01-17_11-37-39,751769,a4dae472-9a9b-4bd7-a920-9691a69869dc,2386f052-aeea-4834-8f82-ac87015b5e40,,701f35c1-3078-4ff5-bb53-f76b34b7ecbf,1eb78c64-c230-432d-b615-40a6c0f98954,https://tinyurl.com/nzm4jxuk,L,L,cm-DiI,AP flip,high confidence,,high confidence,ZS,,,,,,
behavior_751769_2025-01-18_10-15-25,751769,5a341fc5-eb96-4f7d-9de5-99a99a41a83b,f314f755-6e4a-419e-b0c5-ea65b9d026af,,701f35c1-3078-4ff5-bb53-f76b34b7ecbf,1eb78c64-c230-432d-b615-40a6c0f98954,https://tinyurl.com/nzm4jxuk,L,L,cm-DiD,AP flip,high confidence,,high confidence,ZS,,,,,,
behavior_751766_2025-02-11_11-53-38,751766,1c088c3b-9448-4154-8fa2-11951c98cd35,1cc50ea6-a47a-4385-a1f6-0c7a435d5f78,0bb6e918-f2c0-4e2e-b909-924c28690768,d2d8c91e-ad90-4265-93de-d85b76b63e84,56a653a1-2cdb-4854-b473-408b4c04fe4f,https://tinyurl.com/547t3xdx,2L,L,cm-DiI,"Conversion fixed
",high confidence,,,HH,,,,,,
behavior_751766_2025-02-13_11-31-21,751766,e9b33712-d39e-41d1-af69-5913f9d17250,3253d0d2-7b36-4587-8926-8a97a32b8579,0bb6e918-f2c0-4e2e-b909-924c28690768,d2d8c91e-ad90-4265-93de-d85b76b63e84,56a653a1-2cdb-4854-b473-408b4c04fe4f,https://tinyurl.com/547t3xdx,R,R,cm-DiI,Round 1 done,high confidence,,,HH,Medium,Yes,Yes,2,TBD,"Putative upper and lower boundaries of Cerebellum with 0.77 scale factor, but overall scaling factor undetermined"
behavior_751766_2025-02-14_11-37-11,751766,15579857-ae7f-4621-ab7d-17eb65144e10,aa75deb4-3218-4575-bdda-4ecc79791998,0bb6e918-f2c0-4e2e-b909-924c28690768,d2d8c91e-ad90-4265-93de-d85b76b63e84,56a653a1-2cdb-4854-b473-408b4c04fe4f,https://tinyurl.com/547t3xdx,R,R,cm-DiD,Round 1 done,high confidence,,,HH,Medium,Yes,Yes,2,TBD,"Putative upper and lower boundaries of Cerebellum with 0.86 scale factor, but overall scaling factor undetermined"
behavior_751766_2025-02-15_12-08-11,751766,c235d536-a2c0-443c-bb79-a7f613b210be,5d467871-68ec-494b-8df8-653ae21c42f6,no sorting,d2d8c91e-ad90-4265-93de-d85b76b63e84,56a653a1-2cdb-4854-b473-408b4c04fe4f,https://tinyurl.com/547t3xdx,L,L,cm-DiD,LFP added,high confidence,,,HH,,,,,,
behavior_758017_2025-02-04_11-57-38,758017,75f7920a-17c9-4e0c-8259-aee69e0544b2,c22f4d4e-12aa-4ad1-82ed-1301c279c270,fbc77376-1aa7-4a15-8757-26e1cbf4ddb1,9f048dd3-b514-4721-a9c0-5923f1a5449a,726757d2-8a09-4210-9cb8-a30f47160d87,https://tinyurl.com/5f74u8tx,L,L,cm-DiI,Round 2 done,high confidence,,,ZS,,Yes,Yes,2,,
behavior_758017_2025-02-05_11-42-34,758017,b4263e0d-c566-440e-9f82-f617b46adcd4,25c90e73-2455-490b-a58b-9a354c37244e,fbc77376-1aa7-4a15-8757-26e1cbf4ddb1,9f048dd3-b514-4721-a9c0-5923f1a5449a,726757d2-8a09-4210-9cb8-a30f47160d87,https://tinyurl.com/5f74u8tx,R,R,cm-DiI,Round 2 done,high confidence,,,ZS,,Yes,Yes,2,,
behavior_758017_2025-02-06_11-26-14,758017,a87270c0-16f7-4f7d-b086-1c9feacb00fc,1c147ab8-4465-4684-bc58-448f9ba6a7aa,fbc77376-1aa7-4a15-8757-26e1cbf4ddb1,9f048dd3-b514-4721-a9c0-5923f1a5449a,726757d2-8a09-4210-9cb8-a30f47160d87,https://tinyurl.com/5f74u8tx,R,R,cm-DiD,Round 2 done,high confidence,,,ZS,,Yes,Yes,2,,
behavior_758017_2025-02-07_14-11-08,758017,80bed534-acda-40c9-b5a7-afba77b3e8d0,1a1d2f68-72a5-4b62-acab-41dfd94f9b7f,fbc77376-1aa7-4a15-8757-26e1cbf4ddb1,9f048dd3-b514-4721-a9c0-5923f1a5449a,726757d2-8a09-4210-9cb8-a30f47160d87,https://tinyurl.com/5f74u8tx,L,L,cm-DiD,Round 2 done,high confidence,,,ZS,,Yes,Yes,2,,
behavior_751181_2025-02-25_12-12-35,751181,15ea1711-625b-4e3f-887e-589e03fc7ebc,6488efdd-ba29-4dca-b040-389e8566e917,94dba998-2bee-4e58-8069-4eaa5c4d552c,a284874c-93df-479e-a5d0-2f82bb423977,45390d6f-807b-4e49-9deb-ac37e63bf278,https://tinyurl.com/5eezpwa4,"1R, 2L",L,cm-DiI,"Conversion fixed
",recording track more lateral; fairly high confidence ,,,HH,,,,,,
behavior_751181_2025-02-26_11-51-19,751181,1ce38424-f3cd-434c-b0af-18d3d0179cf1,bde95604-9cb4-4e1d-ae90-fc76dcc69ce4,94dba998-2bee-4e58-8069-4eaa5c4d552c,a284874c-93df-479e-a5d0-2f82bb423977,45390d6f-807b-4e49-9deb-ac37e63bf278,https://tinyurl.com/5eezpwa4,L,L,cm-DiD,Round 1 done,faint dye; medium confidence,,not vert sure,HH,High,Yes,Yes,3,0.92,Note LFP 10-30 vs 80-200; large spk amp in IC
behavior_751181_2025-02-27_11-24-47,751181,c3a218ea-bea0-4ba5-9a95-4b8353340cad,ad291c3a-bf5e-4d03-af52-e59d0b183538,94dba998-2bee-4e58-8069-4eaa5c4d552c,a284874c-93df-479e-a5d0-2f82bb423977,45390d6f-807b-4e49-9deb-ac37e63bf278,https://tinyurl.com/5eezpwa4,R,R,cm-DiD,Round 1 done,faint probe track at surface; medium confidence,,,HH,Medium,Yes,Yes,2,TBD,X-shape LFP corr in pons; weird warping
