session_id,animal_id,raw,sorted,ibl_converted,raw_smartspim,stitched_smartspim,NG_link,Pen Side,Rec Side,Dye,status,NG Note,A-P category,Process note,Aligner,alignment_confidence,CB presence,IC presence,num of landmarks,scale_factor,alignment_notes
ecephys_713854_2024-03-05_12-01-40,713854,,091d54af-1f80-4621-b33f-87f95f269dcb,,,,,L,L,"DiD, same as next",Error,"no dye used for RH recordings; reconstruction based on damage to brain,
but seems pretty distinct",,,,,,,,,
ecephys_713854_2024-03-05_13-01-09,713854,,7e59b38e-c6d1-4ae4-8ba9-8949a66ea027,,,,,L,R,"DiD, same as previous",ValueError: Cannot get sorter name: sorting data are incomplete for sorted_data_asset_id='6528cb54-5660-4fcb-8e03-a0f2415e0fcc' (pipeline likely failed),"supposed to be DiD for this track, but not visible, so reconstruction is best
guess based on damage",,,,,,,,,
ecephys_713854_2024-03-05_13-31-20,713854,,81368013-4eda-4bff-b5a5-5af04aa71c7a,,,,,R,R,None,,not entirely confident about probe tip location,,,,,,,,,
ecephys_713854_2024-03-08_14-54-25,713854,,e195008f-70fa-4128-a36b-9605905aca66,,,,,R,R,None,,,,,,,,,,,
ecephys_713854_2024-03-08_15-43-01,713854,,cd0f10f8-0b38-4105-8907-3c4c79f33f92,,,,,R,R,None,,,,,,,,,,,
ecephys_713854_2024-03-08_16-20-33,713854,,d0ff9026-5cbf-4f39-938c-5221afb0f841,,,,,R,R,None,,,,,,,,,,,
ecephys_713854_2024-03-08_17-15-58,713854,,245a6da9-94ab-4ef6-a42c-9811d3b52423,,,,,R,R,None,,,,,,,,,,,
ecephys_717120_2024-03-06_12-23-53,717120,,ac62c59d-3f69-4095-a9f3-70d564f56471,,,,,,L,None,,,,,,,,,,,
ecephys_717120_2024-03-06_12-54-27,717120,,fab81e6a-a0f2-4771-98a0-b2a2f0639f69,,,,,,L,None,,,,,,,,,,,
ecephys_717120_2024-03-07_12-12-02,717120,,2f9b8826-f653-43a7-a617-13caf69114b2,,,,,,L,None,,,,,,,,,,,
behavior_716325_2024-05-29_10-33-32,716325,,c3d9b46b-fbdb-4e54-8414-6bbc6d912b1f,,309fefde-1ab7-4fdd-b1fc-9c398c6a2c90,bfdedba3-9b7e-4bf1-a76a-5290a38247ce,,R,R,Cm-DiI,No unit filtering for old sorting,,,,HH,,,,,,
behavior_716325_2024-05-30_11-33-46,716325,,bc671ca5-3665-46fb-92ca-ff946a6dffc8,,309fefde-1ab7-4fdd-b1fc-9c398c6a2c90,bfdedba3-9b7e-4bf1-a76a-5290a38247ce,,R,R,DiD,"No session folder, No unit filtering for old sorting",,,,HH,,,,,,
behavior_716325_2024-05-31_10-31-14,716325,,908c91c4-294d-48fc-893f-6b2a7bb3e34d,,309fefde-1ab7-4fdd-b1fc-9c398c6a2c90,bfdedba3-9b7e-4bf1-a76a-5290a38247ce,,L,L,"DiD, 2","Round 1 done, No unit filtering for old sorting",,,,HH,Low,Yes,No,1,TBD,checkboard; drifting; scale factor unknown
behavior_716325_2024-06-01_09-25-37,716325,,e1ec4626-d2b2-4bab-8997-4af2fd14236c,,309fefde-1ab7-4fdd-b1fc-9c398c6a2c90,bfdedba3-9b7e-4bf1-a76a-5290a38247ce,,L,L,Cm-DiI,No unit filtering for old sorting,,,,HH,,,,,,
behavior_717121_2024-06-11_10-23-31,717121,,ca3d59d6-ca49-4751-ad53-078371a7f7dc,,89e792e5-383a-46e1-9059-c0ac451bb967,1415493c-2d23-4f5e-a70a-ef99e067cf0c,https://tinyurl.com/bdc4z9e8,L,L,Cm-DiI,"Round 1 done, No unit filtering for old sorting",,,,ZS,,Yes,Yes,,,
